sell 0.03 | sp 0.0000 | buy -0.60 | bp 0.0000
sell -0.10 | sp 0.0000 | buy -0.03 | bp 0.0000 

sell -0.10 | sp 0.0000 | buy -0.03 | bp 0.0000
sell 0.23 | sp 0.0000 | buy 0.10 | bp 0.0000 

sell -0.07 | sp 0.0000 | buy 0.27 | bp 0.1000
sell 0.23 | sp 0.0000 | buy 0.03 | bp -0.1000 

sell 0.23 | sp 0.0000 | buy 0.03 | bp -0.1000
sell -0.30 | sp 0.0000 | buy -0.30 | bp 0.0000 

sell 0.20 | sp 0.0000 | buy -0.07 | bp 0.0000
sell -0.03 | sp 0.0000 | buy 0.03 | bp 0.0000 

sell -0.03 | sp 0.0000 | buy 0.03 | bp 0.0000
sell -0.07 | sp 0.0000 | buy -0.03 | bp 0.0000 

sell -0.07 | sp 0.0000 | buy -0.03 | bp 0.0000
sell 0.13 | sp 0.0000 | buy 0.20 | bp 0.0667 

sell 0.13 | sp 0.0000 | buy 0.20 | bp 0.0667
sell -0.20 | sp 0.0000 | buy -0.30 | bp -0.0667 

sell -0.20 | sp 0.0000 | buy -0.30 | bp -0.0667
sell 0.17 | sp 0.0000 | buy 0.13 | bp 0.0000 

sell 0.17 | sp 0.0000 | buy 0.13 | bp 0.0000
sell -0.20 | sp 0.0000 | buy -0.27 | bp 0.0000 

sell -0.20 | sp 0.0000 | buy -0.27 | bp 0.0000
sell 0.07 | sp 0.0000 | buy 0.07 | bp 0.0000 

sell 0.73 | sp 0.0000 | buy 0.47 | bp 0.0000
sell -0.23 | sp -0.8667 | buy -0.70 | bp 0.0000 

sell -0.23 | sp -0.8667 | buy -0.70 | bp 0.0000
sell 13.77 | sp 0.6333 | buy -0.10 | bp 0.0000 

sell 13.77 | sp 0.6333 | buy -0.10 | bp 0.0000
sell -14.20 | sp 0.2333 | buy 0.07 | bp 0.0000 

sell -14.20 | sp 0.2333 | buy 0.07 | bp 0.0000
sell 0.23 | sp 0.0000 | buy 0.07 | bp 0.0000 

sell 0.23 | sp 0.0000 | buy 0.07 | bp 0.0000
sell 0.30 | sp 0.8333 | buy -0.13 | bp 0.0000 

sell 0.30 | sp 0.8333 | buy -0.13 | bp 0.0000
sell -0.43 | sp -0.8333 | buy 4.23 | bp -0.2333 

sell -0.47 | sp 0.0667 | buy -4.03 | bp 0.1667
sell 0.20 | sp -0.9333 | buy -0.03 | bp -0.3333 

sell -0.37 | sp 0.3667 | buy -6.70 | bp 0.4000
sell 0.03 | sp -0.5000 | buy -0.17 | bp 0.0000 

sell 0.03 | sp -0.5000 | buy -0.17 | bp 0.0000
sell 0.00 | sp 0.5000 | buy 0.33 | bp 0.0000 

sell 0.00 | sp 0.5000 | buy 0.33 | bp 0.0000
sell 0.03 | sp -0.2333 | buy -0.37 | bp 0.0000 

sell 0.03 | sp 0.0000 | buy 0.03 | bp 2.5000
sell 0.10 | sp 0.0000 | buy 0.27 | bp -2.5000 

sell -0.17 | sp 0.0000 | buy 0.10 | bp 0.0000
sell -0.30 | sp 0.0000 | buy -0.77 | bp 0.0000 

sell -0.30 | sp 0.0000 | buy -0.77 | bp 0.0000
sell -0.17 | sp 7.7667 | buy 0.27 | bp 2.0000 

sell -0.17 | sp 7.7667 | buy 0.27 | bp 2.0000
sell 0.07 | sp -7.7667 | buy -0.03 | bp -2.0000 

sell 0.00 | sp 0.0000 | buy 0.03 | bp 0.0000
sell 0.03 | sp 0.0000 | buy 0.00 | bp 0.0000 

sell 0.03 | sp 0.0000 | buy 0.00 | bp 0.0000
sell -0.07 | sp 0.6333 | buy 0.63 | bp 0.0000 

sell -0.07 | sp 0.0000 | buy -0.40 | bp 0.0000
sell -0.07 | sp 0.0000 | buy 0.33 | bp 0.0000 

sell -0.27 | sp 0.0000 | buy -0.37 | bp 0.0000
sell 0.17 | sp 0.0000 | buy 0.17 | bp 0.0000 

sell 0.17 | sp 0.0000 | buy 0.17 | bp 0.0000
sell -0.07 | sp 0.0000 | buy 0.03 | bp 48.9333 

sell -0.07 | sp 0.0000 | buy 0.03 | bp 48.9333
sell -0.10 | sp 0.0000 | buy -0.10 | bp -48.9333 

sell 0.43 | sp 0.0000 | buy 0.33 | bp 0.0000
sell -0.40 | sp 0.0000 | buy -0.37 | bp 0.0000 

sell -0.13 | sp 0.0000 | buy 0.23 | bp 0.0000
sell 0.30 | sp 0.0000 | buy -0.03 | bp 0.0000 

sell -0.10 | sp 0.0000 | buy -0.53 | bp 0.0000
sell 0.07 | sp 0.0000 | buy 0.70 | bp 0.0000 

sell 0.07 | sp 0.0000 | buy 0.70 | bp 0.0000
sell 0.07 | sp 2.2333 | buy -0.73 | bp 0.0000 

sell 0.07 | sp 2.2333 | buy -0.73 | bp 0.0000
sell 0.37 | sp -2.2333 | buy -0.03 | bp 0.0000 

sell 0.37 | sp -2.2333 | buy -0.03 | bp 0.0000
sell 0.23 | sp 0.0000 | buy 0.87 | bp 0.0000 

sell 0.23 | sp 0.0000 | buy 0.87 | bp 0.0000
sell -0.70 | sp 0.0000 | buy -0.63 | bp 0.0000 

sell -0.70 | sp 0.0000 | buy -0.63 | bp 0.0000
sell 0.03 | sp -0.1333 | buy -0.13 | bp -0.1333 

sell 0.03 | sp -0.1667 | buy 0.00 | bp -0.1667
sell 0.00 | sp 0.0000 | buy 0.07 | bp 0.0000 

sell 0.00 | sp 0.0000 | buy 0.07 | bp 0.0000
sell -0.07 | sp 0.0000 | buy 0.13 | bp 0.0000 

sell -0.07 | sp 0.0000 | buy 0.13 | bp 0.0000
sell 0.03 | sp 0.0000 | buy -0.13 | bp 0.0000 

sell 0.03 | sp 0.0000 | buy -0.13 | bp 0.0000
sell 0.00 | sp 0.0000 | buy -0.07 | bp 0.0000 

sell 0.00 | sp 0.0000 | buy -0.07 | bp 0.0000
sell -0.03 | sp 0.0000 | buy 0.03 | bp 0.0000 

sell -0.03 | sp 0.0000 | buy 0.03 | bp 0.0000
